index,manga_title
454,Re:Zero kara Hajimeru Isekai Seikatsu: Dai-2 Shou - Yashiki no Isshuukan-hen
455,Hakumei to Mikochi
456,Ghost Hunt: Akumu no Sumu Ie
457,Full Moon wo Sagashite
458,Shigeshoushi
459,Vampire Juujikai
460,Five Star Stories
461,Detroit Metal City
462,Soredemo Machi wa Mawatteiru
463,Boku no Hatsukoi wo Kimi ni Sasagu
464,Oooku
465,Kingyosou
466,Seiyuu Ka!
467,Omoide Emanon
468,Gokinjo Monogatari
469,Toshokan Sensou: Love & War
470,Bakuon Rettou
471,Mudazumonaki Kaikaku
472,Steins;Gate
473,Zoku Hoshi Mamoru Inu
474,Tsubaki-chou Lonely Planet
475,Kanata no Astra
476,Restart wa Onaka wo Sukasete
477,Ousama Ranking
478,Boys Run the Riot
479,Touhou Ibara Kasen: Wild and Horned Hermit.
480,Hori-san to Miyamura-kun
481,Tokyo Babylon
482,Life
483,Tekkon Kinkreet
484,Saiyuuki
485,MeruPuri: Märchen☆Prince
486,Sunadokei
487,Shoukoku no Altair
488,Seitokai Yakuindomo
489,Steins;Gate: Eigou Kaiki no Pandora
490,Ao no Flag
491,Usemono Yado
492,Chi no Wadachi
493,Koukaku Kidoutai: The Ghost in the Shell
494,Bokura ga Ita
495,Hidamari Sketch
496,Devilman
497,Toradora!
498,Golden Days
499,Shinai naru Boku e Satsui wo Komete
3000,Jigoku no Enra
3001,Sekai de Ichiban Warui Majo
3002,Senpai! Imakara Kokurimasu!
3003,Chiisana Hiroba
3004,Sekai Oni
3005,Hitomi-sensei no Hokenshitsu
3006,Tsuyokute New Saga
3007,I Love You yori Aishiteru
3008,Chou no Michiyuki
3009,Tales of the Abyss: Tsuioku no Jade
3010,Countrouble
3011,Kemono no Souja
3012,Hyakunen Renbo
3013,Eve no Jikan
3014,Nobara no Hanayome
3015,Munakata Kyouju Denkikou
3016,Higurashi no Naku Koro ni Jan: Tsubamegaeshi-hen
3017,Steins;Gate: Hiyoku Renri no Sweets Honey
3018,Deep Clear
3019,In The Chocolate
3020,Kanemochi-kun to Binbou-kun
3021,Girls & Panzer: Little Army
3022,Marin to Yuurei
3023,Uso Kano
3024,Hadi Girl
3025,Tenshi no Kiss
3026,Heaven!!
3027,Akuma no Ororon
3028,Kochira Katsushikaku Kameari Kouenmae Hashutsujo
3029,Wanted
3030,Dakedo Happy Paradise
3031,Confession
3032,Lodoss-tou Senki: Pharis no Seijo
3033,Gakkou no Ojikan
3034,Aiki
3035,Shokugyou Tenshi
3036,Deep Love Virus
3037,Skyhigh: Karma
3038,Hakobune Hakusho
3039,Otogi Matsuri
3040,Aozora Pop
3041,Ryuu no Hanawazurai
3042,Love Luck
3043,Fortune Arterial
3044,Pokémon Pocket Monsters
3045,Ace wo Nerae
3046,Matantei Loki Ragnarok
3047,Barbara Ikai
3048,The Change!
3049,Chibi☆Devi!
3050,Seton
3051,Houkago no Ouji-sama
3052,Tsubasa
3053,Take Over Zone
3054,Ragtonia
3055,Plastic Girl
3056,Kono Koi wo Wasurenai.
3057,Watashitachi wa Koi wo Shiranai
